source_row,stable_player_id,legacy_key,player_name,affl_team,eligibilities,match_status,legacy_name,legacy_afl_club,legacy_eligibilities,identity_evidence_json,missing_identity_evidence,previous_vnext_included,previous_vnext_exclusion_reason
387,afl-player-v1-26ff1ee55b317fca0c0f,oisin-mullin,Oisin Mullin,Geelong Cats,"G-DEF,MID",matched,Oisin Mullin,Geelong,G-DEF,"{""birth_date"":""2000-02-11"",""birth_year"":2000,""draft_pick"":"""",""draft_type"":""IRE"",""draft_year"":2021,""legacy_key"":""oisin-mullin""}",draft_pick,True,
74,afl-player-v1-9d46c38c720869af0fa4,oliver-hayes-brown,Oliver Hayes-Brown,Brisbane Lions,RUCK,matched,Oliver Hayes-Brown,Richmond,RUCK,"{""birth_date"":""2000-04-28"",""birth_year"":2000,""draft_pick"":"""",""draft_type"":""UNR"",""draft_year"":2023,""legacy_key"":""oliver-hayes-brown""}",draft_pick,True,
238,afl-player-v1-44edbd90969b5c4373c3,oscar-berry,Oscar Berry,Free agents,"K-DEF,G-DEF",matched,Oscar Berry,,K-DEF,"{""birth_date"":""2002-01-04"",""birth_year"":2002,""draft_pick"":"""",""draft_type"":""UNR"",""draft_year"":2025,""legacy_key"":""oscar-berry""}",draft_pick,False,no_current_or_historical_scoring_games+not_recent_unplayed_draftee
6,afl-player-v1-650b0c72bb3082a86c14,oscar-steene,Oscar Steene,Adelaide Crows,"RUCK,G-FWD,K-FWD",matched,Oscar Steene,Collingwood,RUCK,"{""birth_date"":""2003-08-23"",""birth_year"":2003,""draft_pick"":"""",""draft_type"":""SSP"",""draft_year"":2022,""legacy_key"":""oscar-steene""}",draft_pick,True,
619,afl-player-v1-0006090cd55e28d1a258,paddy-cross,Paddy Cross,Richmond Tigers,G-FWD,matched,Paddy Cross,Melbourne,G-FWD,"{""birth_date"":""2003-02-14"",""birth_year"":2003,""draft_pick"":"""",""draft_type"":""SSP"",""draft_year"":2025,""legacy_key"":""paddy-cross""}",draft_pick,True,
245,afl-player-v1-a8d4c0c54b6acab698c5,patrick-carr,Patrick Carr,Free agents,RUCK,matched,Patrick Carr,,RUCK,"{""birth_date"":""2005-08-10"",""birth_year"":2005,""draft_pick"":"""",""draft_type"":""UNR"",""draft_year"":2025,""legacy_key"":""patrick-carr""}",draft_pick,False,no_current_or_historical_scoring_games+not_recent_unplayed_draftee
659,afl-player-v1-1ca96839896a3417dbcd,rhyan-mansell,Rhyan Mansell,St Kilda Saints,G-FWD,matched,Rhyan Mansell,Richmond,G-FWD,"{""birth_date"":""2000-06-04"",""birth_year"":2000,""draft_pick"":"""",""draft_type"":""SSP"",""draft_year"":2020,""legacy_key"":""rhyan-mansell""}",draft_pick,True,
772,afl-player-v1-1e48a475f30de9837e3d,ricky-mentha,Ricky Mentha,Western Bulldogs,"G-DEF,G-FWD",matched,Ricky Mentha,Melbourne,G-FWD,"{""birth_date"":""2006-09-04"",""birth_year"":2006,""draft_pick"":"""",""draft_type"":""PDN"",""draft_year"":2024,""legacy_key"":""ricky-mentha""}",draft_pick,False,no_current_or_historical_scoring_games+not_recent_unplayed_draftee
258,afl-player-v1-c13e1f14b2b069c3f78f,riley-hamilton,Riley Hamilton,Free agents,"G-FWD,MID",matched,Riley Hamilton,GWS,G-FWD,"{""birth_date"":""2006-08-15"",""birth_year"":2006,""draft_pick"":"""",""draft_type"":""PDA"",""draft_year"":2025,""legacy_key"":""riley-hamilton""}",draft_pick,False,no_current_or_historical_scoring_games+not_recent_unplayed_draftee
282,afl-player-v1-3a8550ac8af5ca190c13,rob-monahan,Rob Monahan,Free agents,G-DEF,matched,Rob Monahan,Carlton,G-DEF,"{""birth_date"":""2004-06-29"",""birth_year"":2004,""draft_pick"":"""",""draft_type"":""IRE"",""draft_year"":2023,""legacy_key"":""rob-monahan""}",draft_pick,False,no_current_or_historical_scoring_games+no_recent_activity_signal+not_recent_unplayed_draftee
