Player Name,AFFL Team,Position/s
Jase Burgoyne,Essendon Bombers,"G-DEF,MID"
Tom Green,Essendon Bombers,MID
Liam Henry,Essendon Bombers,G-FWD
Logan McDonald,Essendon Bombers,"G-FWD,K-FWD"
Luke Pedlar,Essendon Bombers,G-FWD
Oscar Ryan,Adelaide Crows,G-DEF
Will Green,Essendon Bombers,RUCK
Tom De Koning,Essendon Bombers,RUCK
Samson Ryan,West Coast Eagles,RUCK
Levi Ashcroft,Essendon Bombers,MID
Jacob van Rooyen,Essendon Bombers,"G-FWD,K-FWD"
Will Edwards,Essendon Bombers,"G-DEF,K-DEF"
Flynn Perez,Brisbane Lions,"MID,G-DEF"
Elijah Hollands,Essendon Bombers,"G-FWD,MID"
Tyler Sonsie,Essendon Bombers,"MID,G-FWD"
Brady Hough,Essendon Bombers,"G-DEF,MID"
Oliver Griffin,Essendon Bombers,G-FWD
Jakob Ryan,West Coast Eagles,G-DEF
Darcy Jones,Essendon Bombers,G-FWD
Billy Cootee,Essendon Bombers,MID
Riley Garcia,Essendon Bombers,"MID,G-FWD"
Braeden Campbell,Essendon Bombers,G-FWD
Toby Conway,Essendon Bombers,RUCK
Toby Nankervis,West Coast Eagles,RUCK
Jedd Busslinger,Essendon Bombers,"G-DEF,K-DEF"
Blake Howes,Essendon Bombers,G-DEF
Shadeau Brain,Essendon Bombers,G-DEF
Lincoln McCarthy,Essendon Bombers,"G-FWD,G-DEF"
Samuel Swadling,Essendon Bombers,MID
Koby Evans,Free agents,MID
Flynn Young,Free agents,G-FWD
Tom Anastasopoulos,Free agents,G-FWD
Cody Anderson,Free agents,G-FWD
Jackson Archer,Free agents,G-DEF
Zac Banch,Free agents,G-FWD
Harry Barnett,Free agents,RUCK
Benny Barrett,Free agents,G-FWD
Cooper Bell,Free agents,"K-FWD,K-DEF,G-FWD,G-DEF"
Oscar Berry,Free agents,"K-DEF,G-DEF"
Jed Bews,Free agents,G-DEF
James Blanck,Free agents,"K-DEF,G-DEF"
Cillian Bourke,Free agents,G-DEF
Ned Bowman,Free agents,G-FWD
Jordan Boyd,Free agents,G-DEF
Daniel Butler,Free agents,G-FWD
Patrick Carr,Free agents,RUCK
Callum Coleman-Jones,Free agents,RUCK
Jamie Cripps,Free agents,G-FWD
Harry Cunningham,Free agents,G-DEF
Tom Doedee,Free agents,G-DEF
Asher Eastham,Free agents,G-FWD
Tom Edwards,Free agents,"K-FWD,G-FWD"
Zak Evans,Free agents,MID
Jy Farrar,Free agents,"K-FWD,G-FWD"
Lachlan Fogarty,Free agents,G-FWD
Ryan Gardner,Free agents,"K-DEF,G-DEF"
Caleb Graham,Free agents,"K-DEF,G-DEF"
Matt Guelfi,Free agents,G-FWD
Riley Hamilton,Free agents,"G-FWD,MID"
Joel Hamling,Free agents,"K-DEF,G-DEF"
Jack Henderson,Free agents,G-FWD
Matt Hill,Free agents,G-DEF
Elliott Himmelberg,Free agents,"K-FWD,G-FWD"
Nicholas Holman,Free agents,G-FWD
Ben Jepson,Free agents,MID
Aidan Johnson,Free agents,"K-FWD,G-FWD"
Chayce Jones,Free agents,"G-DEF,MID"
Harrison Jones,Free agents,"K-FWD,G-FWD"
Darragh Joyce,Free agents,"K-DEF,G-DEF"
Leon Kickett,Free agents,G-FWD
Bailey Laurie,Free agents,G-FWD
Caleb Lewis,Free agents,"K-FWD,G-FWD"
Luke Lloyd,Free agents,"K-FWD,G-FWD"
Noah Long,Free agents,G-FWD
Ryda Luke,Free agents,G-FWD
Finn Maginness,Free agents,G-FWD
Keighton Matofai-Forbes,Free agents,"G-FWD,G-DEF"
Oscar McDonald,Free agents,"K-DEF,G-DEF"
Will McLachlan,Free agents,G-FWD
Liam McMahon,Free agents,"K-FWD,G-FWD"
Lachlan McNeil,Free agents,G-FWD
Jake Melksham,Free agents,"K-FWD,G-FWD"
Rob Monahan,Free agents,G-DEF
Jayden Nguyen,Free agents,G-DEF
Balyn O'Brien,Free agents,G-DEF
Matt Owies,Free agents,G-FWD
Toby Pink,Free agents,"K-DEF,G-DEF"
Patrick Said,Free agents,G-FWD
Bailey Scott,Free agents,MID
Lachlan Sholl,Free agents,MID
Kaleb Smith,Free agents,G-DEF
River Stevens,Free agents,"G-FWD,MID"
Sam Sturt,Free agents,G-FWD
Lachie Sullivan,Free agents,G-FWD
Reece Torrent,Free agents,MID
James Tunstill,Free agents,MID
Jaime Uhr-Henry,Free agents,RUCK
Rhys Unwin,Free agents,G-FWD
