vnext_rank,key,player,position_forecast,position_utility,pick,tenure,age,five_year_utility_mean,five_year_utility_median,five_year_utility_p10,five_year_utility_p90,expected_games_5y_mc,expected_points_5y_mc,p_zero_meaningful_5y,p_90_any_5y_mc,p_100_any_5y_mc,p_110_any_5y_mc,exp_90_seasons_5y_mc,exp_100_seasons_5y_mc,exp_110_seasons_5y_mc,future_value_y1_mean,future_value_y2_mean,future_value_y1_p10,future_value_y1_p90,future_value_y2_p10,future_value_y2_p90
70,chad-warner,Chad Warner,MID,MID,39.0,7,25.0,553.6034273124911,484.7137933496891,52.51455648708637,1176.1076604676098,69.06666666666666,5605.2271688685305,0.013333333333333334,0.6483333333333333,0.33,0.12,1.0983333333333334,0.44666666666666666,0.135,231.20581359604404,153.8699887834971,0.4303131638332225,578.6662693951997,0.0,446.0071057081748
71,jake-bowey,Jake Bowey,DEF,DEF,22.0,6,24.0,551.4675831977123,494.62730069754446,30.095540788478854,1142.6556906738983,67.21,5398.755216602883,0.03,0.6383333333333333,0.3383333333333333,0.105,1.065,0.435,0.11166666666666666,190.58322993497947,146.27622760511153,0.0,532.7144485254324,0.0,403.6464651235017
72,jobe-shanahan,Jobe Shanahan,FWD,FWD,30.0,2,20.0,542.5784891008311,471.66579089122496,47.18826015743305,1179.0017443945155,70.12166666666667,5162.612990363926,0.015,0.43666666666666665,0.17166666666666666,0.058333333333333334,0.6216666666666667,0.19833333333333333,0.058333333333333334,99.20676038419502,122.88921984412161,0.0,329.255893242775,0.0,403.51329018145964
73,tom-powell,Tom Powell,MID,FWD,13.0,6,24.0,542.452400722812,454.90532159553317,47.19418252433915,1133.710815750513,60.40833333333333,4555.268188056537,0.03166666666666667,0.43833333333333335,0.165,0.03666666666666667,0.595,0.185,0.03833333333333333,156.5277300553225,126.58068408549521,0.0,424.2017258165502,0.0,373.14405283822884
74,jake-soligo,Jake Soligo,MID,MID,36.0,5,23.0,537.8881059289515,453.29088540195096,49.3055950430826,1188.4100129245637,74.54333333333334,6050.585248941175,0.015,0.63,0.3466666666666667,0.11333333333333333,1.1283333333333334,0.4583333333333333,0.11833333333333333,130.70768453453348,137.5527689654145,0.0,400.22947744764383,0.0,409.4897260715763
75,jagga-smith,Jagga Smith,MID,MID,3.0,2,20.0,531.092650525713,422.72772109721126,31.15303246584782,1156.3339916893217,76.34,6187.093422145749,0.006666666666666667,0.625,0.3466666666666667,0.13833333333333334,1.165,0.485,0.15,108.2006051899234,103.27254878493645,0.01939276175944522,327.75410109674146,0.0,320.89397128469363
76,george-wardlaw,George Wardlaw,MID,MID,4.0,4,22.0,526.1452913976285,456.7359437615594,43.29520174395553,1097.0543448043834,70.75666666666666,5801.6406812009045,0.02,0.6666666666666666,0.3466666666666667,0.12166666666666667,1.2066666666666668,0.455,0.13,135.24492689777802,120.20637645968476,0.0,389.43691366359053,0.0,349.3817938977386
77,mitchito-owens,Mitchito Owens,MID,FWD,33.0,5,23.0,523.3597623809383,467.16564330516684,55.32533792540863,1054.4524530375302,62.821666666666665,4646.545221138727,0.02,0.42333333333333334,0.165,0.041666666666666664,0.5466666666666666,0.18,0.045,152.3501975922511,125.45773261955736,9.557572883821597e-06,434.9335423701629,0.0,393.53332731820683
78,daniel-curtin,Daniel Curtin,DEF,MID,8.0,3,21.0,523.0988691169042,430.3870681364964,25.004254437206104,1126.0465775322564,80.89166666666667,6445.608445054199,0.005,0.6183333333333333,0.3516666666666667,0.125,1.1116666666666666,0.4716666666666667,0.14666666666666667,84.48735753139299,134.28088306884672,0.0,284.6203176105522,0.004144084205640193,408.2433612836856
79,tim-taranto,Tim Taranto,MID,MID,2.0,10,28.0,517.866562092941,469.08139717630456,43.788703002801725,1032.1782365553197,60.065,4826.786516116468,0.013333333333333334,0.6516666666666666,0.38333333333333336,0.145,1.0433333333333332,0.495,0.15166666666666667,263.1446653456323,134.90482403549956,0.9713375753568244,635.679005421513,0.0,392.8252033188624
80,izak-rankine,Izak Rankine,FWD,FWD,3.0,8,26.0,508.9537364177425,446.72665935343355,35.00552135620621,1072.3719604220298,57.41166666666667,4223.713286773147,0.028333333333333332,0.3983333333333333,0.16333333333333333,0.03666666666666667,0.5366666666666666,0.185,0.03833333333333333,209.02008330472788,136.39567900167896,0.0,529.7140420981895,0.0,434.13819550765993
81,max-michalanney,Max Michalanney,DEF,DEF,17.0,4,22.0,484.80691930429265,384.78985884336606,21.864448175763766,1055.0270002204666,82.13333333333334,6312.530077662384,0.006666666666666667,0.5333333333333333,0.22333333333333333,0.06833333333333333,0.88,0.30666666666666664,0.07666666666666666,98.81533247585725,113.60090881663952,0.014732206426095257,323.3770434399901,0.0043284767252027975,380.816908986065
